transaction_id,timestamp,source_account,destination_account,amount,payment_type,score,raw_score,rank,alert
TX0004324955,2022-09-09T03:45:00Z,70:100428660,1047:806535D40,1446.38,Credit Card,0.06578947603702545,0.9278513789176941,1,True
TX0004337665,2022-09-09T04:21:00Z,6156:803F11650,18902:803F00790,38538.35,ACH,0.06578947603702545,0.9257827401161194,2,True
TX0004337671,2022-09-09T04:18:00Z,24515:803F03340,18902:803F00790,6051.46,ACH,0.06578947603702545,0.9246110916137695,3,True
TX0004361127,2022-09-09T04:43:00Z,35520:80D597F50,235509:80D599720,10895.72,ACH,0.06499999761581421,0.9232253432273865,4,True
TX0004324687,2022-09-09T03:42:00Z,70:100428660,29089:805114010,343.81,Cheque,0.06499999761581421,0.9154083728790283,5,True
TX0004323363,2022-09-09T03:47:00Z,70:100428660,1729:8004DFDA0,9208.23,Cash,0.06499999761581421,0.9136890769004822,6,True
TX0004324885,2022-09-09T03:46:00Z,70:100428660,8771:80117DEA0,694.43,Cheque,0.06499999761581421,0.9130945801734924,7,True
TX0004327129,2022-09-09T03:40:00Z,70:100428660,236197:81057B680,916.79,Credit Card,0.06499999761581421,0.9130535125732422,8,True
TX0004326631,2022-09-09T03:45:00Z,70:100428660,232583:80DC7B6D0,1900.3,Cheque,0.06499999761581421,0.9092249870300293,9,True
TX0004327228,2022-09-09T03:35:00Z,70:100428660,221691:810C17620,1604.89,Cheque,0.06499999761581421,0.9031355381011963,10,True
TX0004326485,2022-09-09T03:43:00Z,70:100428660,31161:80D2AAC90,335.89,Cheque,0.055000003427267075,0.8909578919410706,11,True
TX0004325677,2022-09-09T03:41:00Z,70:100428660,11471:809B9CE60,3695.62,Cheque,0.054999999701976776,0.9005013704299927,12,True
TX0004339497,2022-09-09T04:11:00Z,70:100428660,223649:80C32A1C0,311.91,Cheque,0.054999999701976776,0.8989870548248291,13,True
TX0004362154,2022-09-09T04:36:00Z,143242:810627700,220:8106323D0,8513.62,ACH,0.054999999701976776,0.8984977006912231,14,True
TX0004354761,2022-09-09T04:39:00Z,70:1004286A8,23:800500DA0,311.84,Credit Card,0.054999999701976776,0.897595226764679,15,True
TX0004324426,2022-09-09T03:45:00Z,70:100428660,25981:803BE2A60,2420.74,Cheque,0.054999999701976776,0.8954188823699951,16,True
TX0004323320,2022-09-09T03:43:00Z,70:100428660,1420:800320550,3669.66,Credit Card,0.054999999701976776,0.8941565155982971,17,True
TX0004325238,2022-09-09T03:53:00Z,70:100428660,16788:807800B20,281.81,Cash,0.054999999701976776,0.8928969502449036,18,True
TX0004327963,2022-09-09T03:51:00Z,70:100428660,44359:814484230,11028.33,Credit Card,0.054999999701976776,0.8925959467887878,19,True
TX0004326076,2022-09-09T03:36:00Z,70:100428660,1411:80B8134C0,15845.07,Credit Card,0.054999999701976776,0.891588568687439,20,True
TX0004324215,2022-09-09T03:44:00Z,70:100428660,4523:802DA1820,1401.41,Cash,0.054999999701976776,0.8909943103790283,21,True
TX0004343187,2022-09-09T04:29:00Z,70:1004286A8,1655:80B397BC0,605.95,Credit Card,0.054999999701976776,0.8909879326820374,22,True
TX0004350346,2022-09-09T04:44:00Z,70:100428660,13327:8019BE230,295.72,Cheque,0.054999999701976776,0.8908920288085938,23,True
TX0004372191,2022-09-09T05:07:00Z,112497:804AD49C0,112064:804AD4F00,76397.72,ACH,0.04545454680919647,0.8897736668586731,24,True
