transaction_id,timestamp,source_account,destination_account,amount,currency,amount_received,currency_received,payment_type
TX0004310141,2022-09-09T03:15:00Z,220:8001316A0,1:80019A020,4414.44,US Dollar,4414.44,US Dollar,Credit Card
TX0004310146,2022-09-09T03:15:00Z,10:8001B7060,10:8001C3570,135.19,US Dollar,135.19,US Dollar,Cheque
TX0004310152,2022-09-09T03:15:00Z,70:100428660,12:800219C20,312.53,US Dollar,312.53,US Dollar,Credit Card
TX0004310182,2022-09-09T03:15:00Z,1601:8003AAE90,1362:8003F9080,3352.8,US Dollar,3352.8,US Dollar,Cheque
TX0004310225,2022-09-09T03:15:00Z,70:100428660,701:8006A3A80,41.39,US Dollar,41.39,US Dollar,Credit Card
TX0004310244,2022-09-09T03:15:00Z,3675:800731F70,11107:80075CC20,51.74,US Dollar,51.74,US Dollar,Credit Card
TX0004310276,2022-09-09T03:15:00Z,701:800858540,11405:80087C790,1232.76,US Dollar,1232.76,US Dollar,Cheque
TX0004310313,2022-09-09T03:15:00Z,10:8004858A0,1412:8009EFDC0,4886.35,US Dollar,4886.35,US Dollar,Credit Card
TX0004310315,2022-09-09T03:15:00Z,10:800450B40,1674:800A63410,5120.52,US Dollar,5120.52,US Dollar,Wire
TX0004310331,2022-09-09T03:15:00Z,1362:800546B80,21174:800B26190,8466.26,US Dollar,8466.26,US Dollar,Cheque
TX0004310392,2022-09-09T03:15:00Z,1:800839CB0,2843:800D21FF0,80.57,US Dollar,80.57,US Dollar,Cheque
TX0004310418,2022-09-09T03:15:00Z,21575:800A34E00,1068:800E8D330,3338.93,US Dollar,3338.93,US Dollar,Credit Card
TX0004310439,2022-09-09T03:15:00Z,32385:800DBFA90,1588:800DB9780,304.99,US Dollar,304.99,US Dollar,Cheque
TX0004310462,2022-09-09T03:15:00Z,1:80011AA30,2627:800FFBED0,5.73,US Dollar,5.73,US Dollar,Wire
TX0004310499,2022-09-09T03:15:00Z,795:800D98770,1729:801138E30,267.09,US Dollar,267.09,US Dollar,Cheque
TX0004310552,2022-09-09T03:15:00Z,1588:800425D10,22736:80124AAE0,15179.76,US Dollar,15179.76,US Dollar,Credit Card
TX0004310553,2022-09-09T03:15:00Z,1588:800425D10,22736:80124AAE0,16358868.37,US Dollar,16358868.37,US Dollar,Cash
TX0004310631,2022-09-09T03:15:00Z,70:100428660,1688:801685D40,18617.78,US Dollar,18617.78,US Dollar,Credit Card
TX0004310642,2022-09-09T03:15:00Z,11296:800A4DAF0,795:8017014F0,1145.97,US Dollar,1145.97,US Dollar,Cheque
TX0004310666,2022-09-09T03:15:00Z,701:8006457A0,23842:8017D32A0,10563.09,US Dollar,10563.09,US Dollar,Credit Card
TX0004310688,2022-09-09T03:15:00Z,33183:801954440,2991:80191AB10,1586.89,US Dollar,1586.89,US Dollar,Credit Card
TX0004310768,2022-09-09T03:15:00Z,1:80109FBA0,2991:801D6BEF0,4750.84,US Dollar,4750.84,US Dollar,Credit Card
TX0004310842,2022-09-09T03:15:00Z,23842:8016B68D0,11318:80229A0D0,19132.34,US Dollar,19132.34,US Dollar,Cheque
TX0004310858,2022-09-09T03:15:00Z,11904:8012E76B0,23885:802398350,10107.06,US Dollar,10107.06,US Dollar,Credit Card
TX0004310911,2022-09-09T03:15:00Z,11157:8019414B0,11974:8025E48B0,274.66,US Dollar,274.66,US Dollar,Cheque
TX0004310967,2022-09-09T03:15:00Z,34066:802AB1DD0,1244:802AB1D80,596.79,US Dollar,596.79,US Dollar,Credit Card
TX0004310990,2022-09-09T03:15:00Z,1124:800D40940,14549:802B42DA0,1308.62,US Dollar,1308.62,US Dollar,Credit Card
TX0004311102,2022-09-09T03:15:00Z,24132:802B369D0,11318:8032AA080,163.17,US Dollar,163.17,US Dollar,Cash
TX0004311117,2022-09-09T03:15:00Z,7042:802AD6D30,2053:803317570,1436.23,US Dollar,1436.23,US Dollar,Credit Card
TX0004311234,2022-09-09T03:15:00Z,513:8006D62F0,8805:8038D89D0,348.05,US Dollar,348.05,US Dollar,Cheque
TX0004311242,2022-09-09T03:15:00Z,70:100428660,3242:803A38750,57.21,US Dollar,57.21,US Dollar,Credit Card
TX0004311257,2022-09-09T03:15:00Z,220:8001CBEF0,21550:803B6DB80,192.81,US Dollar,192.81,US Dollar,Credit Card
TX0004311275,2022-09-09T03:15:00Z,1:8005F9DF0,17729:803C8D810,11172.97,US Dollar,11172.97,US Dollar,Cheque
TX0004311295,2022-09-09T03:15:00Z,22828:802CC1490,7478:803D54A00,8959.45,US Dollar,8959.45,US Dollar,Cheque
TX0004311324,2022-09-09T03:15:00Z,11296:801F4E930,21940:804017140,27.14,US Dollar,27.14,US Dollar,ACH
TX0004311357,2022-09-09T03:15:00Z,2843:8019DB740,1686:80420D8F0,11746.69,US Dollar,11746.69,US Dollar,Cash
TX0004311371,2022-09-09T03:15:00Z,1244:801B5B440,2843:80438D090,280.4,US Dollar,280.4,US Dollar,Cheque
TX0004311415,2022-09-09T03:15:00Z,10642:80459E720,6276:804859900,107.99,US Dollar,107.99,US Dollar,Wire
TX0004311427,2022-09-09T03:15:00Z,1124:804274E40,15916:804882D00,428.81,US Dollar,428.81,US Dollar,Credit Card
TX0004311442,2022-09-09T03:15:00Z,17327:8039BADA0,11157:804A4E3D0,1546.4,US Dollar,1546.4,US Dollar,Credit Card
TX0004311468,2022-09-09T03:15:00Z,11157:800CD1000,110836:804DEA6C0,746.77,US Dollar,746.77,US Dollar,Credit Card
TX0004311526,2022-09-09T03:15:00Z,3607:8051FA370,70:100428660,1738.9,US Dollar,1738.9,US Dollar,Cash
TX0004311590,2022-09-09T03:15:00Z,1665:800420580,7478:8056EFC10,3901.39,US Dollar,3901.39,US Dollar,Cheque
TX0004311625,2022-09-09T03:15:00Z,315468:8059E4700,2947:8059EB210,2890.0,US Dollar,2890.0,US Dollar,Cheque
TX0004311662,2022-09-09T03:15:00Z,11318:800D3EE90,9482:805B55120,41410.86,US Dollar,41410.86,US Dollar,ACH
TX0004311672,2022-09-09T03:15:00Z,22345:803C97B60,19329:80482FBC0,3253.21,US Dollar,3253.21,US Dollar,Cheque
TX0004311684,2022-09-09T03:15:00Z,213580:805195EA0,2439:805DFAE70,477.86,US Dollar,477.86,US Dollar,Cheque
TX0004311685,2022-09-09T03:15:00Z,213580:805195EA0,2439:805DFAE70,3432.28,US Dollar,3432.28,US Dollar,Credit Card
TX0004311707,2022-09-09T03:15:00Z,220:80015F5D0,16163:805FA7270,1150.92,US Dollar,1150.92,US Dollar,Cheque
TX0004311715,2022-09-09T03:15:00Z,70:100428660,5140:806002BE0,2076.35,US Dollar,2076.35,US Dollar,Cheque
TX0004311716,2022-09-09T03:15:00Z,70:100428660,5140:806002BE0,260.57,US Dollar,260.57,US Dollar,Credit Card
TX0004311743,2022-09-09T03:15:00Z,1729:800918F60,13037:8062B8F60,1618.62,US Dollar,1618.62,US Dollar,Cheque
TX0004311774,2022-09-09T03:15:00Z,31359:80656F900,1420:806570280,270.56,US Dollar,270.56,US Dollar,ACH
TX0004311796,2022-09-09T03:15:00Z,21940:803039180,4726:8066A4BE0,106.26,US Dollar,106.26,US Dollar,Credit Card
TX0004311801,2022-09-09T03:15:00Z,2843:800DDAD60,215687:8066B49B0,160.74,US Dollar,160.74,US Dollar,Cheque
TX0004311826,2022-09-09T03:15:00Z,317765:8067039F0,10:8067051B0,699.64,US Dollar,699.64,US Dollar,Cheque
TX0004311880,2022-09-09T03:15:00Z,12:8001A37B0,2439:806A60090,622810.69,US Dollar,622810.69,US Dollar,Cheque
TX0004311899,2022-09-09T03:15:00Z,3229:8029FAD10,1241:806C6C250,4857.03,US Dollar,4857.03,US Dollar,Credit Card
TX0004311906,2022-09-09T03:15:00Z,1665:80226E680,9482:806CF1640,13626.79,US Dollar,13626.79,US Dollar,Cheque
